vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,0.1891578,4.999857,0.0003561756,3.294489,0.6242207399999999,0.4999857000000001,-0.0,0.4999857000000001,0.800975789429874
3.3,0.1,0.05,-0.05000073,4.999874,0.0008723245,3.313762,-0.165002409,0.4999874,-0.16564448377500002,0.334342916225,0.0
5.0,0.1,0.0,-0.05000071,4.999872,0.00139429,5.00044,-0.25000354999999996,0.4999872,-0.0,0.4999872,0.0
5.0,0.1,0.05,-1.138278e-07,4.999876,0.001417945,5.000347,-5.69139e-07,0.4999876000000001,-0.24994645275,0.2500411472500001,0.0
12.0,0.1,0.0,-2.272753e-07,4.999876,0.0005766178,5.002672,-2.7273036e-06,0.4999876000000001,-0.0,0.4999876000000001,0.0
12.0,0.1,0.05,0.1900999,4.999876,0.002143913,11.94924,2.2811988,0.4999876000000001,-0.59735480435,-0.0973672043499999,-0.042682472194006026
